Lucky Cafeteria,18249150,Maniktala
Bengal Food Factory,18618771,Maniktala
Misti Mukh,24002,Maniktala
Royal Taj Biryani,18657705,Maniktala
Ganguram,24390,Maniktala
The Sugarr & Spice,18070796,Maniktala
Sunita's Bakery,18452222,Maniktala
Bak-e-at,18599727,Maniktala
Snacker's Hut,18603005,Maniktala
Star Fast Food,24293,Maniktala
Kum's Kitchen,18857287,Maniktala
Lakshmi Narayan Punjabi Hotel,18134914,Maniktala
Anand Fast Food,18237078,Maniktala
Kathleen,22994,Maniktala
Ganguram & Sons,22090,Maniktala
Abar Khaboo,18439471,Paikpara
The Belief,18845371,Paikpara
The Mini Five Star Restaurant,18545866,Paikpara
Cafe Coffee Day,24189,Paikpara
Red Chillies,18597456,Sealdah Area
Annapurna,22051,Sealdah Area
Arshyan Restaurant,18555480,Sealdah Area
Khai Khai Kitchen,18857397,Sealdah Area
Wow! Momo,21659,Sealdah Area
Station Cafe,24570,Sealdah Area
Atithi Bengali Aahar,18574863,Sealdah Area
Sonali Chinese Restaurant,18146296,Sealdah Area
Aroma,22127,Sealdah Area
Gupta's,24291,Sealdah Area
Soo Fresh,18420474,Sealdah Area
Aahar Restaurant,22098,Sealdah Area
Cafe Coffee Day,21107,Sealdah Area
Food Stop,23892,Sealdah Area
Kalpataru Mitha Lassi,18462075,Sealdah Area
Sufi Darbar,18673121,Sealdah Area
Naiori Restaurant,18683751,Sealdah Area
Putiram Sweets,22926,Sealdah Area
Turmeric,24571,Sealdah Area
Break Point,18593361,Sealdah Area
Shibanna Sweet Shop,18217471,Sealdah Area
Rishika,18342941,Sealdah Area
Delight,18414427,Sealdah Area
Confection konnection,18674102,Sealdah Area
Bishal Restaurant,24305,Sealdah Area
The Sugarr & Spice,18128504,Sealdah Area
Taj Restaurant And Caterer,22040,Sealdah Area
Tea Junction,18707644,Sealdah Area
Aami Bangali,18570868,Sealdah Area
Mio Amore,25336,Sealdah Area
Just Baked,21024,Sealdah Area
Food Court Chinese Restaurant,25194,Sealdah Area
Goal Bar,18658571,Sealdah Area
Kitchen,18580600,Sealdah Area
Royal Calcutta Sweets,18213955,Sealdah Area
CFC,18561885,Sealdah Area
Prince Snacks,18715169,Sealdah Area
CHOWMEIN WAALA,18895639,Sealdah Area
Mitra Cafe,21125,Shobha Bazar
